molecule_chembl_id,canonical_smiles,standard_value_nM
CHEMBL3823268,COc1cc(P(C)(C)=O)ccc1Nc1ncc(Cl)c(Nc2ccccc2C(N)=O)n1,0.11
CHEMBL3652826,COc1cc(OCCN2CCCC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2,0.18
CHEMBL3656563,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2C,0.19
CHEMBL3656576,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2,0.19
CHEMBL3656637,COCCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(Cl)cc2)CC3)n1,0.2
CHEMBL3656635,CC(=O)N1CCC(n2cc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3sccc3Cl)CC4)cn2)CC1,0.2
CHEMBL3661006,CCOc1cc(N2CCN(C(C)C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1ccccc1)CC2,0.26
CHEMBL3660916,COc1cc(C(=O)N[C@H]2CC[C@H](N3CCOCC3)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2,0.27
CHEMBL3660996,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1sccc1Cl)CC2,0.3
CHEMBL476259,CCCN1CCC(c2ccc(Nc3nc(Nc4cc(F)ccc4C(N)=O)c4cc[nH]c4n3)c(OC)c2)CC1,0.3
CHEMBL3656608,COc1ccc(-c2c3c(nn2C)CCc2cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc2-3)c(Cl)c1,0.3
CHEMBL3639555,Cn1cc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2sccc2Cl)CC3)cn1,0.3
CHEMBL3656638,CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2sccc2C)CC3)n1,0.3
CHEMBL3661005,CCOc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1ccccc1)CC2,0.31
CHEMBL509032,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,0.35
CHEMBL3823256,COc1cc(P(C)(C)=O)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(C)(=O)=O)n1,0.4
CHEMBL3656639,Cn1nc2c(c1-c1sccc1Cl)-c1nc(Nc3ccccc3)ncc1CC2,0.4
CHEMBL3656641,COc1ccc(-c2c3c(nn2C)CCc2cnc(Nc4cnn(C5CCN(C(C)=O)CC5)c4)nc2-3)cc1,0.4
CHEMBL3656609,COc1ccc(-c2c3c(nn2C)CCc2cnc(Nc4ccc(C(=O)NC5CCN(C)CC5)cc4OC)nc2-3)c(Cl)c1,0.4
CHEMBL3660997,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1ccccc1Cl)CC2,0.4
CHEMBL477069,CCCN1CCCC(c2ccc(Nc3nc(Nc4cc(F)ccc4C(N)=O)c4cc[nH]c4n3)c(OC)c2)C1,0.4
CHEMBL3656640,CN(C)C1CCN(CCn2ccc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccccc3)CC4)n2)CC1,0.4
CHEMBL3661004,CCOc1cc(N2CCN(C3CCOCC3)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1ccccc1)CC2,0.43
CHEMBL3824326,COc1cc(P(C)(C)=O)ccc1Nc1ncc(Cl)c(Nc2ccccc2C(C)=O)n1,0.47
CHEMBL475073,COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2cc(F)c(F)cc2C(N)=O)c2cc[nH]c2n1,0.5
CHEMBL3656606,COc1ccc(-c2c3c(nn2C)CCc2cnc(Nc4ccc(OCCN5CCCC5)cc4OC)nc2-3)c(Cl)c1,0.5
CHEMBL3656643,CC(=O)N1CCC(n2cc(Nc3ncc4c(n3)-c3c(nn(C)c3Cc3ccccc3C)CC4)cn2)CC1,0.5
CHEMBL3656642,CN(C)CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2sccc2Cl)CC3)n1,0.5
CHEMBL3661009,COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1cccc(Cl)c1)CC2,0.5
CHEMBL3660915,COc1cc(C(=O)NC2CCN(CCO)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2,0.54
CHEMBL3660954,CCOc1cc(C(=O)NC2CN(C)C2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1ccccc1)CC2,0.57
